,track_id,track_name,artist_id,artist_name,album_id,duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
305,2ySXcO8ao15kPceiPWIsnK,Aman Aman,0icjnvOhvT9hktbxVOUogI,Drinche,6n0jiIDoEngWU99XTECdAR,174638,37,0.726,0.41,6,-8.857999999999999,0.062,0.00296,0.852,0.0842,0.2769999999999999,95.0,2.910633333333333
344,2SP6w6HeCkiKRahSCCGVGu,Ya Tabtab,0icjnvOhvT9hktbxVOUogI,Drinche,1TITOAcXMWWuqKfrlPA0ga,182783,27,0.768,0.5489999999999999,6,-13.255,0.0598,0.275,0.7,0.0839,0.552,119.99,3.046383333333333
350,2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,4EK8gtQfdVsmDTji7gBFlz,208760,54,0.636,0.6759999999999999,2,-3.442,0.0263,0.0807,0.0,0.0831,0.273,113.98,3.4793333333333334
367,0kpdD6AqC6dU06Ce9IELXB,Sahara,0icjnvOhvT9hktbxVOUogI,Drinche,0sVzf6cIeYhtwExwfvYeN8,124441,24,0.764,0.723,4,-9.168,0.0415,0.128,0.812,0.0959,0.192,123.015,2.0740166666666666
368,2kS6td1yvmpNgZTt1q5pQq,Hayloft,0e86yPdC41PGRkLp2Q1Bph,Mother Mother,0X7S0TEZ5NJsSxmyTnfYi2,181680,84,0.527,0.922,9,-2.6660000000000004,0.0728,0.00475,0.000162,0.422,0.49,95.975,3.028
384,7sl110vSKAnUpPIYcTrpCN,Arabian Nights,0icjnvOhvT9hktbxVOUogI,Drinche,5PcNru5gdgqCfBQyako9Qa,192078,29,0.754,0.643,5,-9.715,0.0581,0.444,0.883,0.1989999999999999,0.618,119.999,3.2013
392,3CFPJGktOC1KpxwvDjIHfL,UCKERS,3M3wTTCDwicRubwMyHyEDy,Shygirl,6QSYoJYxiaD5884cvGrytt,115000,43,0.773,0.555,4,-7.169,0.0583,0.0154,0.00814,0.319,0.501,97.992,1.9166666666666667
399,5siesK1gYQObYkJvDKaYb9,Hayati,0icjnvOhvT9hktbxVOUogI,Drinche,0H9rawRwwayQEXAmjKIbVQ,177261,18,0.716,0.4379999999999999,1,-13.905,0.0437,0.53,0.909,0.0819,0.266,105.055,2.95435
404,5tfZ1uYrArdbDqiZ7z1aCE,Space Girl,5uuqghaOBgtv92jDyDveQl,Frances Forever,6hiGYyZjkFhQ3M7khG2zs7,231428,19,0.67,0.3979999999999999,9,-9.14,0.0306,0.319,0.000113,0.38,0.2189999999999999,125.983,3.8571333333333335
405,0ymn3NBfT1W2QW0d7U5kHS,Hadal Ahbek,6dO0RkhFhjMwLtLQqNgL8r,Issam Alnajjar,5NUgTQnW5TqzsqzDVEVITx,209684,46,0.8059999999999999,0.47,4,-9.985,0.0307,0.156,0.0,0.0884,0.442,95.003,3.494733333333333
418,3rchFjeKZ0bJxO7EEdM3S5,Paparazzi,526TMJFuJibm9j2p9td9Yp,Kim Dracula,4LsEtJv6NHZMcK9qavcF6m,192358,77,0.677,0.685,4,-5.643,0.0505,0.0739,0.0,0.107,0.177,91.008,3.205966666666667
420,2ViSWfhT0kvEulXA1HH7Wk,Sugar Daddy,4o4tLTIJ3eWMFerz73atcT,Qveen Herby,5JDYyeV93HlRyB5EKqt3We,203809,71,0.953,0.4529999999999999,10,-7.197,0.07,0.0605,0.000159,0.625,0.0368,126.009,3.3968166666666666
425,0wIdpFIZqaKyscPAMSQ9wq,Yeah Yeah,5yPzzu25VzEk8qrGTLIrE1,Young Nudy,4ywlL5XZxSfTVAi66PiShY,246857,61,0.644,0.597,6,-8.305,0.206,0.0167,5.41e-05,0.1119999999999999,0.341,139.969,4.114283333333334
426,68NddryKBycFryRVkUXjyJ,TELL EM,1oxZxW3ta1uFAZBIyclbUG,yoitsvic,4EASphAMa9lHaXMZFqYayn,77413,51,0.76,0.573,1,-13.402,0.3,0.174,0.912,0.129,0.181,126.252,1.2902166666666666
427,6FUYkl8t6gKFT59NpQWuhr,Mix It,7Hol8IRGqnkUgWM21PHDhN,MoneyMarr,4nTCTOBjgHnvNiKC1TVdcT,119375,46,0.812,0.586,8,-7.625,0.39,0.0232,0.0,0.1639999999999999,0.23,153.094,1.9895833333333333
428,6KUNUUH9IR3RBoBSWvNqfW,MY STORY (DLOG),6rIaHuCIUu32uj2CjlEBN3,Mike Dimes,3YsslJLbGuxcqC2NYlL56v,164075,48,0.936,0.251,1,-15.98,0.494,0.287,0.0,0.122,0.6709999999999999,140.935,2.734583333333333
433,21UkXrc9kD48rNpTMI2ecz,Never Left,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,0PMJvFnZxXl9LToaZFHhxp,168727,84,0.807,0.659,11,-6.92,0.332,0.0224,0.0,0.309,0.4379999999999999,82.465,2.812116666666667
434,3QqYZWQLn0evKMIRlGJeeR,Bundles (feat. Taylor Girlz),0jL5A3JBu46MsYrr5JMPuT,Kayla Nicole,7r9c4LfF8fMsCiVtDWEvyJ,154805,71,0.939,0.682,11,-5.931,0.306,0.0015199999999999,0.0,0.0552,0.584,130.02200000000002,2.580083333333333
439,6toQdWWc4noiOk3Eo5mVDS,Beat Box 3 (feat. DaBaby),3Y2MLcrD3ZQXRXmtn4fZQx,SpotemGottem,6QqwWNpKYbROin3Gq5pIrV,200424,81,0.853,0.426,1,-6.812,0.374,0.0765,0.0,0.104,0.201,160.05100000000002,3.3404
442,5PJbsnPWGcZWsNHdRpW3Wq,Who Want Smoke?,0Njy6yR9LykNKYg9yE23QN,Nardo Wick,6e4K6xYheopkx9xug6jjgc,152793,66,0.6890000000000001,0.62,6,-7.684,0.295,0.00159,0.0,0.623,0.452,75.488,2.54655
443,5vznxflwW1N2Yu142Z2HQs,CAP,3UD8eKuUv97BAcp28iYoSH,T3,0e3wHGLecXd0oh87hv7B7c,163134,43,0.866,0.644,9,-6.504,0.373,0.0361,0.0,0.0632,0.942,156.014,2.7189
444,04KTF78FFg8sOHC1BADqbY,Hot In Herre,2gBjLmx6zQnFGQJCAQpRgw,Nelly,4HUUHHXBXImwksfbSPqE7q,228240,74,0.956,0.745,11,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075,3.804
446,3BGppswSnFNGUSFiJ6rj4n,Show Me Up,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,5xe3MDpbfGY6ELBF4zU29w,166875,76,0.674,0.4529999999999999,6,-10.293,0.0612,0.155,1.21e-06,0.0933,0.22,128.107,2.78125
448,6Mfh9o1FjAiA3gU5q21OD6,Everyday,2SJhf6rTOU53g8yBdAjPby,SoFaygo,3cDBVusNMPK33eaTIE5QQg,171165,68,0.497,0.637,2,-8.594,0.609,0.5870000000000001,0.0,0.3279999999999999,0.518,161.079,2.85275
451,4xdbFyoS5EdHdSOGaahjBv,On Cam (feat. Moneybagg Yo),3KNIG74xSTc3dj0TRy7pGX,Yung Bleu,3BugKqF5cEESuHEkKIvyVP,160248,58,0.8390000000000001,0.34,1,-11.591,0.407,0.0099,2.69e-05,0.154,0.417,160.043,2.6708
452,0kCBorRrKZkSztd9m0QI3r,Chanel (Go Get It) [feat. Gunna & Lil Baby],50co4Is1HCEo8bhOyUWKpn,Young Thug,4OHfmMUq6xwCo8zfQuc9Rf,201706,69,0.938,0.5,4,-10.08,0.144,0.00183,0.0,0.077,0.462,140.011,3.3617666666666666
454,5dPy0aaKKW4IxXVSzCCDoC,Shawty Wassup,5bT8zz9XjbOtDryVd3wRGw,YUNG NATION,0dKk5bXqT2tj4FIwTxESym,235520,51,0.883,0.601,1,-6.112,0.207,0.0224,0.0,0.145,0.397,123.958,3.925333333333333
455,7iyjZ4paFWpTrJJenM0yZb,All Night Long,7vRMMs8yrKf4PKUpUllMkr,Mary Jane Girls,4W5tAjZ4fF60N6a2v8EWnF,343933,57,0.7959999999999999,0.431,7,-10.3,0.214,0.171,0.00811,0.0894,0.667,94.875,5.732216666666667
456,1YLNlMw1m4Qax6JmgGSmk5,Bullshit,41klVmDluQZmGGqoidNfbe,Blac Youngsta,3FiBSFMM9piHRDeqOC9Y74,153826,35,0.846,0.437,8,-8.691,0.405,0.00401,0.0,0.103,0.381,151.953,2.5637666666666665
457,7JuHVG3qQKQKxC4doneXVW,Back In Blood (feat. Lil Durk),5F1aAS1duwlzExnPs3l2Xe,Pooh Shiesty,1VARhsCn3CIog9r2lz6gq5,184489,81,0.759,0.5379999999999999,8,-8.256,0.384,0.151,0.0,0.126,0.831,146.933,3.0748166666666665
458,7hyFM8vIb8PyHlIMhz6Xkp,ReYup (feat. Spodee),6z1cicLMt9XArxN10q7m8a,Travis Porter,00W6uJqcLvePN3ZzXA1y11,135627,60,0.974,0.375,1,-11.995,0.391,0.0273,0.0,0.0807,0.8029999999999999,127.019,2.26045
459,4frLb7nWtsz2ymBE6k2GRP,Earned It (Fifty Shades Of Grey),1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,0P3oVJBFOv3TDXlYRhGL7s,277680,70,0.659,0.291,2,-8.275,0.0348,0.405,0.0,0.0771,0.406,119.829,4.628
463,7upI4eeUGFQWpHvFF36p2G,Jelly,0IiQOvnmgZpXMLB1fLVYko,Big Homie Ty.Ni,62vEl5UFS0O6XcF7haIZDN,142808,62,0.8859999999999999,0.708,10,-4.391,0.36,0.176,1.53e-05,0.3279999999999999,0.5329999999999999,145.967,2.380133333333333
466,4NpDZPwSXmL0cCTaJuVrCw,Birthday Sex,3KV3p5EY4AvKxOlhGHORLg,Jeremih,5CKAAsmFCdmKq4fTtNdmHc,226506,67,0.679,0.522,7,-5.603,0.0427,0.297,0.0,0.151,0.445,60.014,3.7751
467,0yqbODoDTXfE3hIkX8Gvcm,Knicks,46HzS7yz0c9udVwtbHk1sx,Cochise,1AsrohE9XGCKDZ3rRHZwOw,148164,63,0.8170000000000001,0.5710000000000001,6,-8.797,0.168,0.017,0.000307,0.241,0.621,159.982,2.4694
468,6DaqBwun59rgzYEQROTbRv,Triple S,3gIWD9hK0VEhgsSrLu19PU,YN Jay,0KgOD2o4Muqv2rATDeT0GK,141844,56,0.825,0.4529999999999999,2,-9.869,0.281,0.0155,4.22e-06,0.108,0.148,97.49,2.3640666666666665
469,17T2DUqNZhxyQL0dx3LQdj,#Sweetladychallenge,0A9T67lakyVmzzPIdTqsUd,Lew Mr. Blue,0Vv7sRpl5brcz2w3zWxSkp,192287,57,0.741,0.669,10,-6.292999999999999,0.04,0.0215,0.0,0.0555,0.3989999999999999,102.992,3.2047833333333333
472,7dH9TPjTWQ60wOJkmYay8a,Blastoff (feat. Juice Wrld & Trippie Redd),6MPCFvOQv5cIGfw3jODMF0,Internet Money,2vGU0DOcfsDee0euvhl1iZ,174729,69,0.7609999999999999,0.517,5,-6.916,0.0927,0.114,0.0,0.157,0.46,147.912,2.91215
475,2Y3USTCETS4xbjJOzT1Icm,Adderall (Corvette Corvette) - Remix,3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,3CHhjAvREJII4YPk4qyDXq,176382,70,0.921,0.718,4,-3.545,0.299,0.217,0.0,0.1889999999999999,0.677,141.06,2.9397
481,1pFeTquELXNoBRQkgNsl1A,Walk Down,2jg1MyFUxojR6GG4wfByU3,FNF Chop,7DG9BuLOmcBkhE4iJQfP6C,104489,30,0.905,0.515,1,-5.806,0.3429999999999999,0.14,5.76e-06,0.1689999999999999,0.298,131.132,1.7414833333333333
482,6aHoPULNO7pSL2ZfUY0bU8,Knock Knock,2SJhf6rTOU53g8yBdAjPby,SoFaygo,0VqPgJ14lyu0JlERRgqgUw,139728,81,0.669,0.629,1,-6.032,0.0657,0.0485,0.0,0.346,0.6829999999999999,125.935,2.3288
483,4Iedi94TIaB2GGb1nMB68v,On Me,5f7VJjfbwm532GiveGC0ZK,Lil Baby,25gJpQKgXxT5CrMitr0DQO,135959,82,0.856,0.564,6,-6.295,0.392,0.00327,0.0,0.134,0.483,77.972,2.265983333333333
490,15C4TnrrVdym7UykxQIOTZ,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,5jJjvmEwRr8epuGZq4eUUa,BRS Kash,7CaoMilK1vM4KvbbvRVggD,211609,71,0.878,0.475,1,-8.42,0.324,0.00984,0.0,0.1669999999999999,0.397,131.988,3.5268166666666665
491,74lnM5V6ecvoTPV0fvptx9,Nuketown (feat. Juice WRLD),2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,0z0z4DcXhHiobX5ZKAw8Qn,166400,76,0.8079999999999999,0.617,10,-9.32,0.442,0.113,0.0,0.7340000000000001,0.632,149.96200000000002,2.773333333333333
492,1YakuHfzKxjnseCEeVQtrY,Don't Wanna Fall In Love,4qBgvVog0wzW75IQ48mU7v,KYLE,7ramtTKrOVLzbPjzGbSJgr,232368,71,0.486,0.616,0,-6.9,0.2769999999999999,0.0149,0.0,0.356,0.601,132.151,3.8728
493,1edP9mOIcf8lDzlO1ORbCr,Pour It Up,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,4XBfFj0WYyh5mBtU61EdyY,161200,48,0.785,0.478,2,-8.735,0.0419,0.0254,0.0,0.0901,0.39,134.003,2.6866666666666665
494,2x7MyWybabEz6Y6wvHuwGE,Just Dance,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,1jpUMnKpRlng1OJN7LJauV,241933,73,0.8220000000000001,0.7390000000000001,1,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,4.032216666666667
